co_code|company_name|owner_code|owner_gp_name|co_industry_gp_code|co_industry_name|incorporation_year|nse_symbol|bse_scrip_id
21420|A B B INDIA LTD.|020201020100|Asea Brown Boveri (F) Group|0101014005050000|Generators, transformers & switchgears|1949|ABB|ABB
21424|ASEAN INDUSTRIAL STRUCTURES LTD.|020102000000|Private (Indian)|0101060201000000|Industrial construction|1994|NA|ASINSTR
21458|ASHA AGRO INDS. LTD.|020102000000|Private (Indian)|0101011101200000|Vegetable oils & products|1987|NA|ASHA AGRO IN
21575|ASHAPURA MINECHEM LTD.|020101030151|Ashapura Minechem Group|0101020300000000|Minerals|1982|ASHAPURMIN|ASHAPURMIN
21602|ASHARI AGENCIES LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1985|NA|ASHARI
21603|ASHARI PROPERTIES & FINANCES LTD.|020102000000|Private (Indian)|0102031500000000|Other asset financing services|1988|NA|ASHARI PROP.
21611|ASHCO NIULAB INDS. LTD.|020102000000|Private (Indian)|0101041590000000|Other miscellaneous services|1986|ASHCONIUL|ASHCONIUL
21649|ASHIANA AGRO INDS. LTD.|020102000000|Private (Indian)|0101040405000000|Retail trading|1990|NA|ASHAI
21663|ASHIANA HOUSING LTD.|020102000000|Private (Indian)|0101060101000000|Housing construction|1986|ASHIANA|ASHIANA
21667|ASHIANA ISPAT LTD.|020102000000|Private (Indian)|0101013501100000|Steel|1992|NA|ASHIS
21674|ASHIANA PROTEINS LTD. [MERGED]|020102000000|Private (Indian)|0101011101200000|Vegetable oils & products|1992|NA|ASHIANA PROT
21678|ASHIBEJ INDUSTRIES LTD.|020102000000|Private (Indian)|0101013501500000|Other ferrous metal products|1992|NA|NA
21688|ASHIKA CREDIT CAPITAL LTD.|020102000000|Private (Indian)|0102040000000000|Other fund based financial services|1994|NA|ASHIKACR
21697|ASHIM INVESTMENT CO. LTD. [MERGED]|020101010502|Hari Shankar Singhania Group|0102040000000000|Other fund based financial services|1975|NA|ASHIM
21707|ASHIMA LTD.|020101020119|Ashima Group|0101011505000000|Cloth|1982|ASHIMASYN|ASHIMASYN
21728|ASHIRWAD CAPITAL LTD.|020101030996|Swasti Vinayaka Group|0102040000000000|Other fund based financial services|1985|NA|ASHCAP
